Unnamed: 0,subject_id,age,patch_path,centers_path
6250,625,-4.7971403067441605,./data_starmen/images_patch/Starman__subject_s625__tp_0_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp0_centers.npy
6251,625,-3.6316479073898975,./data_starmen/images_patch/Starman__subject_s625__tp_1_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp1_centers.npy
6252,625,-2.4661555080356345,./data_starmen/images_patch/Starman__subject_s625__tp_2_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp2_centers.npy
6253,625,-1.3006631086813716,./data_starmen/images_patch/Starman__subject_s625__tp_3_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp3_centers.npy
6254,625,-0.1351707093271086,./data_starmen/images_patch/Starman__subject_s625__tp_4_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp4_centers.npy
6255,625,1.0303216900271543,./data_starmen/images_patch/Starman__subject_s625__tp_5_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp5_centers.npy
6256,625,2.1958140893814173,./data_starmen/images_patch/Starman__subject_s625__tp_6_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp6_centers.npy
6257,625,3.3613064887356794,./data_starmen/images_patch/Starman__subject_s625__tp_7_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp7_centers.npy
6258,625,4.526798888089943,./data_starmen/images_patch/Starman__subject_s625__tp_8_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp8_centers.npy
6259,625,5.692291287444207,./data_starmen/images_patch/Starman__subject_s625__tp_9_patches.npy,./data_starmen/images_patch/Starman__subject_s625_tp9_centers.npy
6260,626,-7.499274084631192,./data_starmen/images_patch/Starman__subject_s626__tp_0_patches.npy,./data_starmen/images_patch/Starman__subject_s626_tp0_centers.npy
6261,626,-6.556616604340994,./data_starmen/images_patch/Starman__subject_s626__tp_1_patches.npy,./data_starmen/images_patch/Starman__subject_s626_tp1_centers.npy
6262,626,-5.613959124050796,./data_starmen/images_patch/Starman__subject_s626__tp_2_patches.npy,./data_starmen/images_patch/Starman__subject_s626_tp2_centers.npy
6263,626,-4.671301643760598,./data_starmen/images_patch/Starman__subject_s626__tp_3_patches.npy,./data_starmen/images_patch/Starman__subject_s626_tp3_centers.npy
6264,626,-3.7286441634704,./data_starmen/images_patch/Starman__subject_s626__tp_4_patches.npy,./data_starmen/images_patch/Starman__subject_s626_tp4_centers.npy
6265,626,-2.7859866831802016,./data_starmen/images_patch/Starman__subject_s626__tp_5_patches.npy,./data_starmen/images_patch/Starman__subject_s626_tp5_centers.npy
