Unnamed: 0,age,image_path,subject_id
3750,-6.831552355092986,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_0.npy,375
3751,-5.4876505592793565,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_1.npy,375
3752,-4.143748763465727,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_2.npy,375
3753,-2.7998469676520967,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_3.npy,375
3754,-1.4559451718384668,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_4.npy,375
3755,-0.1120433760248369,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_5.npy,375
3756,1.231858419788793,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_6.npy,375
3757,2.575760215602424,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_7.npy,375
3758,3.9196620114160527,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_8.npy,375
3759,5.263563807229682,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s375__tp_9.npy,375
3760,-6.315162876060411,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_0.npy,376
3761,-5.346351305807873,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_1.npy,376
3762,-4.377539735555335,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_2.npy,376
3763,-3.4087281653027968,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_3.npy,376
3764,-2.4399165950502586,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_4.npy,376
3765,-1.4711050247977209,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_5.npy,376
3766,-0.5022934545451827,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_6.npy,376
3767,0.4665181157073554,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_7.npy,376
3768,1.4353296859598936,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_8.npy,376
3769,2.404141256212432,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s376__tp_9.npy,376
3770,-5.577919217725395,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_0.npy,377
3771,-4.540253928820039,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_1.npy,377
3772,-3.502588639914682,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_2.npy,377
3773,-2.4649233510093254,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_3.npy,377
3774,-1.4272580621039692,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_4.npy,377
3775,-0.3895927731986131,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_5.npy,377
3776,0.648072515706744,./data_starmen/images/SimulatedData__Reconstruction__starman__subject_s377__tp_6.npy,377
