,subject_id,age,patch_path,centers_path
0,0,-4.286991750062417,./data_starmen/images_patch/Starman__subject_s0__tp_0_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_0_centers.npy
1,0,-3.241016077634242,./data_starmen/images_patch/Starman__subject_s0__tp_1_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_1_centers.npy
2,0,-2.1950404052060666,./data_starmen/images_patch/Starman__subject_s0__tp_2_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_2_centers.npy
3,0,-1.1490647327778913,./data_starmen/images_patch/Starman__subject_s0__tp_3_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_3_centers.npy
4,0,-0.1030890603497161,./data_starmen/images_patch/Starman__subject_s0__tp_4_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_4_centers.npy
5,0,0.9428866120784596,./data_starmen/images_patch/Starman__subject_s0__tp_5_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_5_centers.npy
6,0,1.9888622845066344,./data_starmen/images_patch/Starman__subject_s0__tp_6_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_6_centers.npy
7,0,3.034837956934809,./data_starmen/images_patch/Starman__subject_s0__tp_7_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_7_centers.npy
8,0,4.080813629362985,./data_starmen/images_patch/Starman__subject_s0__tp_8_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_8_centers.npy
9,0,5.1267893017911605,./data_starmen/images_patch/Starman__subject_s0__tp_9_patches.npy,./data_starmen/images_patch/Starman__subject_s0_tp_9_centers.npy
10,1,-6.553313601923916,./data_starmen/images_patch/Starman__subject_s1__tp_0_patches.npy,./data_starmen/images_patch/Starman__subject_s1_tp_0_centers.npy
11,1,-5.563817816929444,./data_starmen/images_patch/Starman__subject_s1__tp_1_patches.npy,./data_starmen/images_patch/Starman__subject_s1_tp_1_centers.npy
12,1,-4.574322031934972,./data_starmen/images_patch/Starman__subject_s1__tp_2_patches.npy,./data_starmen/images_patch/Starman__subject_s1_tp_2_centers.npy
