,subject_id,age,patch_path,centers_path
0,96,-3.9455338854543776,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_0_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_0_centers.npy
1,96,-2.8367345835851614,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_1_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_1_centers.npy
2,96,-1.7279352817159457,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_2_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_2_centers.npy
3,96,-0.61913597984673,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_3_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_3_centers.npy
4,96,0.4896633220224862,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_4_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_4_centers.npy
5,96,1.5984626238917023,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_5_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_5_centers.npy
6,96,2.7072619257609176,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_6_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_6_centers.npy
7,96,3.816061227630134,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_7_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_7_centers.npy
8,96,4.92486052949935,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_8_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_8_centers.npy
9,96,6.033659831368565,./data_starmen/anomaly_patches/darker_line__starman__subject_s96__tp_9_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s96_tp_9_centers.npy
10,526,-5.295094222909025,./data_starmen/anomaly_patches/darker_line__starman__subject_s526__tp_0_patches.npy,./data_starmen/anomaly_patches/darker_line__starman__subject_s526_tp_0_centers.npy
